ticker,conditions,correction,exchange,id,participant_timestamp,price,sequence_number,sip_timestamp,size,tape,trf_id,trf_timestamp
A,"12,37",0,12,62879130215491,1738314406785978319,153.27,3211,1738314406786333952,1,1,0,0
A,12,0,12,62879130270281,1738314475786545963,153.11,3254,1738314475786904320,100,1,0,0
A,"14,12,37,41",0,12,62879130270282,1738314475786596070,153.1,3255,1738314475786946560,1,1,0,0
A,"12,37",0,11,52983525033009,1738316112534961573,151.89,4169,1738316112534996736,5,1,0,0
A,"12,37",0,12,62879130868534,1738316696200672198,149.88,4390,1738316696201032192,1,1,0,0
A,"12,37",0,12,62879130924127,1738316793716093232,150.01,4397,1738316793716455168,1,1,0,0
A,"12,37",0,12,62879130929972,1738316880477736933,150.63,4437,1738316880478093056,1,1,0,0
A,"12,37",0,12,62879131063355,1738317476228243557,150.51,4701,1738317476228603904,1,1,0,0
A,"12,37",0,12,62879131063356,1738317476228243557,150.61,4702,1738317476228603904,1,1,0,0
A,"14,12,37,41",0,12,62879131064419,1738317490917398513,150.71,4710,1738317490917757952,1,1,0,0